Date,Open,High,Low,Close,Volume,Adj Close
2014-10-02,38.50,39.17,38.30,39.02,1074200,38.835
2014-10-01,38.75,39.46,38.39,38.52,1313900,38.3374
2014-09-30,38.89,39.50,38.75,38.94,2033900,38.7554
2014-09-29,39.06,39.46,38.52,39.09,2347000,38.9047
2014-09-26,39.56,39.95,39.01,39.08,1142400,38.8947
2014-09-25,39.43,39.90,39.34,39.76,1538400,39.5715
2014-09-24,38.65,40.01,38.65,39.63,3408300,39.4421
2014-09-23,38.87,39.69,38.40,38.65,6384900,38.4668
2014-09-22,39.30,39.60,38.50,38.84,3105400,38.6559
2014-09-19,39.80,41.10,39.12,39.45,9682800,39.263
2014-09-18,39.74,40.09,39.56,39.72,1252500,39.5317
2014-09-17,39.91,40.34,39.50,39.94,1772800,39.7506
2014-09-16,39.71,39.71,39.71,39.71,000,39.5217
2014-09-15,40.03,40.37,39.51,39.71,1907300,39.5217
2014-09-12,40.11,40.64,40.00,40.12,1378400,39.9298
2014-09-11,40.21,40.46,40.11,40.31,687700,40.1189
2014-09-10,40.50,40.69,40.32,40.37,754500,40.1786
2014-09-09,40.94,41.00,40.16,40.58,1843700,40.3876
2014-09-08,40.09,40.97,40.07,40.94,1698400,40.7459
2014-09-05,40.21,40.72,40.00,40.06,1660100,39.8701
2014-09-04,40.00,40.32,39.97,40.01,2727000,39.8203
2014-09-03,40.09,40.37,39.94,39.99,4017600,39.8004
2014-09-02,40.25,40.97,39.84,40.29,2960600,40.099
2014-09-01,41.35,41.38,40.27,40.46,1874700,40.2682
2014-08-29,42.65,42.92,41.00,41.16,6175100,40.9649
2014-08-28,42.92,43.00,42.60,42.84,1152900,42.6369
2014-08-27,42.60,42.98,42.60,42.95,1448000,42.7464
2014-08-26,43.00,43.00,42.02,42.51,2342300,42.3085
2014-08-25,42.70,43.00,42.56,42.92,1050900,42.7165
2014-08-22,42.99,43.04,42.51,42.91,1277200,42.7066
2014-08-21,43.16,43.16,42.53,42.94,1427500,42.7364
2014-08-20,42.83,43.20,42.30,43.17,1622400,42.9653
2014-08-19,42.54,43.10,42.36,43.05,1964100,42.8459
2014-08-18,42.42,42.95,42.21,42.74,723200,42.5374
2014-08-15,42.72,42.81,42.09,42.36,777000,42.1592
2014-08-14,42.95,42.95,42.61,42.93,1267200,42.7265
2014-08-13,42.30,43.00,42.30,42.89,1925000,42.6866
2014-08-12,42.11,42.99,42.00,42.25,2485300,42.0497
2014-08-11,41.95,42.62,41.63,42.32,1547800,42.1194
2014-08-08,41.49,41.90,41.21,41.70,1122200,41.5023
2014-08-07,41.45,41.95,40.70,41.17,1763600,40.9748
2014-08-06,42.00,42.24,41.06,41.52,1439100,41.3231
2014-08-05,41.45,42.45,41.39,41.97,1649900,41.771
2014-08-04,40.63,42.75,40.63,41.66,2662000,41.4625
2014-08-01,40.81,41.74,40.00,40.62,1647600,40.4274
2014-07-31,41.00,41.07,39.47,40.61,2466600,40.4175
2014-07-30,42.23,42.70,41.01,41.07,1691100,40.8753
2014-07-29,42.90,42.96,41.93,42.21,1480600,42.0099
2014-07-28,42.02,43.10,42.02,42.96,1889000,42.7563
2014-07-25,41.35,42.30,41.35,42.23,2732900,42.0298
2014-07-24,41.00,41.73,40.85,41.56,1610500,41.363
2014-07-23,41.60,41.99,40.85,41.00,1833800,40.8056
2014-07-22,41.56,42.14,40.96,41.16,974500,40.9649
2014-07-21,41.51,42.41,41.27,41.56,2028700,41.363
